col1,col2
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[114 219 145 ...  66  66  66]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
[ 0.22016978 -0.15051655  0.42      ],[115 220 146 ... 115 220 146]
